序号,所用时间,1、你有计划/打算在大学生活中去培养一些艺术方面的爱好或者特长吗,2、你现在有艺术方面的爱好或者特长吗,3、如果你现在可以拿到任意一种乐器，你想玩儿什么,4、如果你现在拿到一种乐器，让你随意玩/探索，你会不知所措吗,5、如果现在你拿到了一张白纸，需要你随意画画，你会有画什么的想法吗,6、你会对什么形式或者类别的艺术活动产生冲动,7、您现在渴望抽出时间去参与艺术活动吗,8、你幻想过自己以某种艺术家的生活方式过日子吗,9、您的年级,10、您的专业类别,11、您的性别,12、你日常有什么与艺术相关的活动，休闲方式或小兴趣来调节你的状态
91,209秒,有,有,我想玩〖钢琴〗,不会,我想画〖想用水彩随便涂一大片各种绿色〗,会〖唱歌〗,渴望,幻想过这种生活〖唱歌弹琴绘画刺绣做点手工这样〗,大一,非艺术类专业,女,参加合唱团，舞会，周末去KTV
92,149秒,有,有,我想玩〖都可以〗,不会,我想画〖乱画，一直圈〗,会〖音乐〗,渴望,幻想过这种生活〖希望优雅的生活〗,大一,非艺术类专业,男,听歌、看剧、练琴、吹笛子
93,236秒,无,无,我想玩〖竹笛〗,不会,我想画〖想法很多，但手不允许〗,茫然,不会,无,大一,非艺术类专业,男,听音乐，看电影，看画
94,35秒,无,无,茫然,会,没有,茫然,不会,无,大二,非艺术类专业,男,无
95,63秒,有,有,茫然,会,没有,茫然,渴望,无,大二,艺术类专业,男,展 涉猎
96,81秒,有,有,茫然,不会,我想画〖人像〗,会〖舞蹈〗,渴望,幻想过这种生活〖舞蹈工作室的老板〗,大二,非艺术类专业,女,"跳爵士舞
追星
看舞台"
97,281秒,有,有,我想玩〖大提琴〗,不会,我想画〖二次元人物(自己虚構出来的)〗,会〖我非常喜欢听古典音乐，包括歌剧等。〗,渴望,幻想过这种生活〖自己是善于演奏某种乐器的演奏家〗,大一,非艺术类专业,女,听西方歌剧，看演奏乐团的表演
98,57秒,有,有,我想玩〖吉他〗,会,我想画〖人体解剖〗,会〖话剧〗,渴望,无,大二,非艺术类专业,男,"话剧演出
唱歌"
99,256秒,有,有,我想玩〖尤克里里〗,不会,我想画〖晴天，美女，帅哥〗,会〖线下展览之类的〗,渴望,幻想过这种生活〖每天悠悠闲闲的，想画画就画，不想画就做手艺人的那种〗,大一,艺术类专业,女,画画涂鸦
100,87秒,有,无,我想玩〖吉他〗,不会,我想画〖春天〗,会〖街头演出〗,渴望,幻想过这种生活〖作家〗,大一,非艺术类专业,女,日常听曲，了解相关知识
